step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
244,CASH_OUT,12191.58,C002392732,260033.04,247841.46000000002,C005451883,431169.01,0.0,0,0
269,PAYMENT,2018.38,C007952988,449309.61,447291.23,C000519910,110072.73,0.0,0,0
135,TRANSFER,2918.83,C000526045,275889.05,272970.22,C008565675,165036.59,0.0,0,0
631,PAYMENT,136.02,C007550460,206080.84,205944.82,C008964071,347461.03,0.0,0,0
331,PAYMENT,8060.44,C007089982,93087.45,85027.01,C001646607,251689.69,0.0,0,0
467,DEBIT,3277.95,C003445988,363986.2,360708.25,C005507815,163853.97,0.0,0,0
729,PAYMENT,1137.73,C007390550,381315.99,380178.26,C003501527,354078.65,0.0,0,0
144,CASH_OUT,9224.01,C003823285,401528.59,392304.58,C003499817,6185.04,0.0,0,0
443,PAYMENT,3520.17,C004953182,279180.59,275660.42000000004,C000686756,488532.65,0.0,0,0
514,CASH_IN,213.13,C003580237,254677.88,254464.75,C008712678,53465.32,0.0,0,0
648,DEBIT,1836.45,C002598186,310421.31,308584.86,C000767657,76428.92,0.0,0,0
726,PAYMENT,35840.18,C004869041,427373.74,391533.56,C003135588,337678.7,0.0,0,0
613,CASH_IN,3433.79,C008979245,411510.16,408076.37,C000135736,148324.31,0.0,0,0
616,CASH_OUT,7367.91,C000537793,84589.17,77221.26,C006729368,186028.27,0.0,0,0
618,PAYMENT,2836.23,C001269484,15328.05,12491.82,C001610648,312495.58,0.0,0,0
532,CASH_IN,7177.28,C009574630,16310.01,9132.73,C000003460,243351.77,0.0,0,0
77,PAYMENT,482.67,C008659727,267363.79,266881.12,C004784997,247889.91,0.0,0,0
251,PAYMENT,2925.96,C001296839,497350.29,494424.32999999996,C007454933,426024.84,0.0,0,0
72,CASH_IN,869.69,C008932926,121582.71,120713.02,C003513092,497256.56,0.0,0,0
130,PAYMENT,1309.94,C005836150,411449.04,410139.1,C008146474,292395.06,0.0,0,0
723,DEBIT,8021.71,C003813956,376822.03,368800.32,C005126547,445177.19,0.0,0,0
235,CASH_OUT,450.14,C003296306,456340.99,455890.85,C004587328,458204.28,0.0,0,0
487,CASH_IN,18493.45,C005228527,255545.03,237051.58,C000973432,138700.83,0.0,0,0
698,CASH_IN,718.74,C002192460,436565.24,435846.5,C007049850,458818.91,0.0,0,0
348,PAYMENT,2765.45,C007696279,256162.43,253396.97999999998,C003792513,384166.25,0.0,0,0
492,CASH_OUT,146609.46,C001410218,436500.78,289891.32000000007,C009218118,196197.2,0.0,0,0
691,CASH_OUT,9948.14,C001814019,435592.44,425644.3,C009637092,179271.61,0.0,0,0
526,CASH_IN,770.58,C004098977,184723.84,183953.26,C000318389,290329.21,0.0,0,0
430,PAYMENT,2944.59,C002210934,201206.44,198261.85,C006871872,147119.42,0.0,0,0
224,CASH_IN,2155.39,C007740001,296560.1,294404.70999999996,C004211733,309489.61,0.0,0,0
659,CASH_IN,469.25,C007846981,297262.32,296793.07,C008224606,83711.86,0.0,0,0
553,TRANSFER,16249.11,C005237506,384142.51,367893.4,C000029834,246407.9,0.0,0,0
96,PAYMENT,677.43,C005861317,383374.05,382696.62,C006962870,341961.72,0.0,0,0
58,CASH_IN,3821.71,C003022932,485615.4,481793.69,C007980790,6480.63,0.0,0,0
5,CASH_OUT,19338.45,C009149056,53558.94,34220.490000000005,C006619517,315197.78,0.0,0,0
247,PAYMENT,2534.56,C002668365,220531.1,217996.54,C008944470,157887.81,0.0,0,0
616,CASH_IN,2559.14,C006862298,307298.08,304738.94,C000652597,371416.46,0.0,0,0
498,CASH_OUT,10442.84,C000160124,6467.62,0.0,C003535633,20106.1,0.0,0,0
383,PAYMENT,1106.02,C004719708,131721.08,130615.05999999998,C005224348,480120.99,0.0,0,0
231,PAYMENT,6935.01,C007521249,74176.92,67241.91,C007422433,252826.26,0.0,0,0
703,PAYMENT,2041.05,C009506892,363899.43,361858.38,C009652649,362809.58,0.0,0,0
174,CASH_OUT,2144.76,C006659084,437836.37,435691.61,C007584476,315160.13,0.0,0,0
373,CASH_OUT,1736.66,C009840336,170350.7,168614.04,C006285740,334639.39,0.0,0,0
667,CASH_IN,1694.35,C009210837,16866.87,15172.519999999999,C004979032,487067.49,0.0,0,0
163,PAYMENT,352.59,C009223268,297141.64,296789.05,C009110805,457972.04,0.0,0,0
400,PAYMENT,3713.68,C003761977,341259.52,337545.84,C009096869,40963.18,0.0,0,0
311,CASH_OUT,21811.77,C000880026,134848.59,113036.81999999999,C004196340,393449.71,0.0,0,0
623,PAYMENT,10353.51,C000832425,328876.89,318523.38,C002183919,143261.83,0.0,0,0
500,CASH_OUT,4628.03,C001235112,403012.55,398384.51999999996,C007270895,499282.78,0.0,0,0
326,CASH_OUT,18079.98,C009693505,100125.81,82045.83,C006005800,434917.83,0.0,0,0
352,DEBIT,57653.86,C001561536,374902.98,317249.12,C003875687,130482.9,0.0,0,0
372,CASH_OUT,9860.39,C006326493,75330.37,65469.979999999996,C009231835,317648.83,0.0,0,0
615,CASH_IN,1209.09,C000801684,223487.66,222278.57,C007626929,282292.39,0.0,0,0
594,CASH_IN,28994.17,C001072692,215927.39,186933.22000000003,C006817862,11489.5,0.0,0,0
280,CASH_IN,28108.44,C009823047,166913.37,138804.93,C003900546,261991.76,0.0,0,0
348,CASH_OUT,172.37,C007864349,242978.48,242806.11000000002,C001060439,360937.79,0.0,0,0
204,CASH_IN,352.54,C009078307,137750.8,137398.25999999998,C004692759,28813.33,0.0,0,0
338,PAYMENT,8357.49,C004534986,254676.6,246319.11000000002,C000113748,336866.93,0.0,0,0
386,DEBIT,13918.56,C005660424,49199.59,35281.03,C002078339,265927.62,0.0,0,0
638,PAYMENT,8038.31,C009035593,438793.68,430755.37,C003298622,483889.73,0.0,0,0
389,PAYMENT,1287.79,C007993504,178769.87,177482.08,C006089641,428184.78,0.0,0,0
110,CASH_OUT,231.3,C000821588,100602.33,100371.03,C003553081,457868.24,0.0,0,0
560,CASH_IN,1567.21,C003627598,261261.1,259693.89,C008497720,76887.33,0.0,0,0
688,PAYMENT,12510.19,C007284590,163160.72,150650.53,C009741931,374592.09,0.0,0,0
250,CASH_OUT,2298.61,C004233488,99298.5,96999.89,C007959394,51326.14,0.0,0,0
361,CASH_OUT,3212.61,C000980088,495050.06,491837.45,C001178357,419192.88,0.0,0,0
529,PAYMENT,43459.2,C008803813,414962.22,371503.01999999996,C002268097,244080.94,0.0,0,0
721,PAYMENT,2106.26,C003987060,89582.65,87476.39,C002588068,195033.32,0.0,0,0
550,PAYMENT,2119.72,C006011440,101434.44,99314.72,C009303401,498349.52,0.0,0,0
192,DEBIT,3181.2,C005102104,31082.68,27901.48,C006900151,339254.56,0.0,0,0
741,CASH_OUT,9424.87,C001769052,42993.27,33568.399999999994,C000542537,493127.69,0.0,0,0
203,TRANSFER,3109.37,C003917702,203336.81,200227.44,C007388431,312018.89,0.0,0,0
719,CASH_OUT,43656.49,C005531182,90921.06,47264.57,C002972722,5794.75,0.0,0,0
139,PAYMENT,356.32,C005188102,208508.76,208152.44,C006233484,175948.76,0.0,0,0
609,PAYMENT,1464.86,C000949695,398939.81,397474.95,C005996339,189449.78,0.0,0,0
509,CASH_IN,2956.55,C003259590,480641.89,477685.34,C001664679,321557.14,0.0,0,0
418,PAYMENT,16842.3,C007209888,435742.95,418900.65,C008195454,344951.0,0.0,0,0
654,TRANSFER,6148.02,C005426660,294173.28,288025.26,C003188366,42220.92,0.0,0,0
540,PAYMENT,352.62,C000068540,255570.8,255218.18,C004636347,499077.84,0.0,0,0
668,CASH_IN,9242.23,C002129341,288845.92,279603.69,C000655341,387816.15,0.0,0,0
271,CASH_OUT,1484.74,C009704207,107299.47,105814.73,C001930221,183630.54,0.0,0,0
152,CASH_OUT,11527.46,C003602593,272329.32,260801.86000000002,C003112104,101917.18,0.0,0,0
464,CASH_IN,2234.29,C009460008,435453.64,433219.35000000003,C009704269,43222.15,0.0,0,0
609,CASH_IN,1233.0,C007003265,201595.39,200362.39,C002330330,104258.91,0.0,0,0
587,TRANSFER,761.77,C000824537,90289.33,89527.56,C001878826,344476.7,0.0,0,0
727,CASH_IN,1835.69,C005491673,479081.57,477245.88,C003127270,487802.49,0.0,0,0
295,PAYMENT,1488.02,C005398090,460925.27,459437.25,C000980253,466755.88,0.0,0,0
654,PAYMENT,2845.49,C007818171,248327.88,245482.39,C006419391,244993.06,0.0,0,0
500,PAYMENT,1101.64,C008912248,425971.48,424869.83999999997,C007216054,167760.8,0.0,0,0
114,PAYMENT,436.82,C000359472,311192.44,310755.62,C008017738,88610.27,0.0,0,0
271,PAYMENT,9025.72,C002491722,429912.35,420886.63,C008624756,157073.47,0.0,0,0
284,PAYMENT,65629.18,C004812077,33975.46,0.0,C009909940,5055.77,0.0,0,0
463,CASH_OUT,9478.98,C005906742,160467.21,150988.22999999998,C008946517,111747.16,0.0,0,0
278,CASH_OUT,5745.8,C005521802,434416.21,428670.41000000003,C002878811,266697.72,0.0,0,0
301,CASH_OUT,7771.4,C009339921,185874.87,178103.47,C007936668,377459.99,0.0,0,0
439,CASH_OUT,11071.74,C005021924,52430.32,41358.58,C004363851,93401.86,0.0,0,0
220,CASH_OUT,3114.34,C006865586,365494.01,362379.67,C007752673,107331.97,0.0,0,0
462,PAYMENT,2433.09,C002599911,117703.39,115270.3,C005436131,187269.85,0.0,0,0
700,CASH_OUT,4833.87,C009901723,439721.28,434887.41000000003,C004668962,401826.86,0.0,0,0
69,CASH_IN,9752.53,C002377783,264299.23,254546.69999999998,C006309053,217969.42,0.0,0,0
397,PAYMENT,665.64,C005575099,58869.97,58204.33,C002588194,338958.35,0.0,0,0
95,PAYMENT,17789.27,C001690732,316675.54,298886.26999999996,C005545136,411237.16,0.0,0,0
139,TRANSFER,5226.03,C006980627,432298.28,427072.25,C006586487,303142.95,0.0,0,0
664,DEBIT,104.87,C001401482,342819.9,342715.03,C003197192,65862.77,0.0,0,0
711,CASH_OUT,11557.76,C002860440,283156.69,271598.93,C005515742,203887.39,0.0,0,0
435,PAYMENT,1425.22,C001502126,82036.59,80611.37,C000216652,301737.24,0.0,0,0
628,CASH_IN,207.0,C004025631,495010.58,494803.58,C008940560,357937.06,0.0,0,0
254,CASH_OUT,7060.91,C004962501,461221.37,454160.46,C001021595,257669.41,0.0,0,0
276,PAYMENT,171.72,C001108826,177863.68,177691.96,C000058675,28535.78,0.0,0,0
711,PAYMENT,7047.73,C002677772,202166.82,195119.09,C002574862,23164.28,0.0,0,0
518,DEBIT,16081.61,C003225997,146771.09,130689.48,C000297707,278481.74,0.0,0,0
734,PAYMENT,9217.39,C007039003,494669.31,485451.92,C000690177,168932.02,0.0,0,0
314,CASH_OUT,4826.51,C005709945,469930.43,465103.92,C006877447,211554.12,0.0,0,0
524,TRANSFER,1282.83,C001147743,384768.36,383485.52999999997,C005404140,367675.36,0.0,0,0
657,PAYMENT,2822.91,C004199064,235958.64,233135.73,C006078696,197414.61,0.0,0,0
63,PAYMENT,5333.08,C006185063,340263.47,334930.38999999996,C005575787,236368.5,0.0,0,0
111,CASH_IN,1083.42,C006410748,24358.35,23274.93,C009932839,437903.45,0.0,0,0
198,TRANSFER,299.54,C006005298,406528.43,406228.89,C000935603,107996.61,0.0,0,0
596,PAYMENT,2017.04,C006701150,339905.67,337888.63,C006747062,207147.35,0.0,0,0
438,CASH_OUT,26.64,C000965869,392447.29,392420.64999999997,C003328764,88261.44,0.0,0,0
26,DEBIT,1329.35,C004100314,358367.88,357038.53,C008238501,93732.74,0.0,0,0
327,CASH_OUT,14891.42,C008642714,435574.56,420683.14,C007953041,88096.03,0.0,0,0
716,CASH_OUT,1316.41,C000440838,274154.35,272837.94,C005787942,97581.15,0.0,0,0
315,CASH_IN,7530.69,C007807242,203499.08,195968.38999999998,C000240789,147773.79,0.0,0,0
489,PAYMENT,15870.06,C001744894,498602.9,482732.84,C002001801,258326.63,0.0,0,0
8,CASH_IN,79.44,C007539595,295401.23,295321.79,C000257197,431179.99,0.0,0,0
92,PAYMENT,1666.9,C007469075,385094.68,383427.77999999997,C003996266,262946.74,0.0,0,0
412,PAYMENT,5869.69,C004261192,393787.64,387917.95,C008654014,414978.1,0.0,0,0
90,PAYMENT,5330.97,C004157592,151225.5,145894.53,C009177145,408028.96,0.0,0,0
46,CASH_IN,79462.6,C009822523,231203.96,151741.36,C001175200,309838.61,0.0,0,0
519,PAYMENT,2490.31,C004543326,335836.91,333346.6,C002357912,358333.26,0.0,0,0
296,TRANSFER,13704.27,C009025196,307259.44,293555.17,C004307161,496344.73,0.0,0,0
631,CASH_OUT,1325.37,C008208739,3967.81,2642.44,C002963596,341930.9,0.0,0,0
250,CASH_IN,2671.98,C009328653,149300.53,146628.55,C009450255,89256.97,0.0,0,0
646,CASH_IN,50338.65,C003514873,465819.31,415480.66,C007135698,486438.2,0.0,0,0
518,DEBIT,40532.88,C003614993,313440.92,272908.04,C004298572,223948.05,0.0,0,0
467,PAYMENT,2082.83,C000363455,343159.42,341076.58999999997,C008123981,153094.03,0.0,0,0
700,PAYMENT,35875.12,C009626882,90443.94,54568.82,C007954536,223594.41,0.0,0,0
582,CASH_IN,6177.52,C008521564,335059.59,328882.07,C006775721,160677.33,0.0,0,0
636,PAYMENT,3251.82,C000797534,145928.17,142676.35,C003721017,194343.64,0.0,0,0
533,PAYMENT,9541.65,C008493313,302718.6,293176.94999999995,C003216049,194130.51,0.0,0,0
719,CASH_IN,2210.34,C002997882,335848.8,333638.45999999996,C009108284,336330.59,0.0,0,0
711,TRANSFER,116.2,C005401640,394621.03,394504.83,C001128886,491003.65,0.0,0,0
296,CASH_IN,13376.02,C005989845,360808.03,347432.01,C007384048,213471.05,0.0,0,0
720,CASH_OUT,1805.36,C005321757,339560.72,337755.36,C009042201,98298.1,0.0,0,0
581,CASH_IN,8862.21,C000647047,112697.7,103835.48999999999,C000194248,148679.88,0.0,0,0
582,PAYMENT,6683.96,C009116933,22483.73,15799.77,C003183930,375666.91,0.0,0,0
229,CASH_IN,2065.42,C008841684,386545.09,384479.67000000004,C003327303,456117.55,0.0,0,0
539,CASH_IN,489.83,C003771451,205260.06,204770.23,C000732984,398847.32,0.0,0,0
649,PAYMENT,36453.39,C000440339,379197.57,342744.18,C003099380,404271.46,0.0,0,0
663,TRANSFER,205.33,C002524851,343016.5,342811.17,C009517983,125553.78,0.0,0,0
578,CASH_IN,6347.91,C000597949,97901.72,91553.81,C003088865,27046.86,0.0,0,0
73,TRANSFER,333.35,C008082292,188927.66,188594.31,C003687732,106934.14,0.0,0,0
739,PAYMENT,559.89,C006788119,194761.71,194201.81999999998,C002783062,272900.36,0.0,0,0
194,DEBIT,5520.0,C003095617,476246.17,470726.17,C004364382,317808.45,0.0,0,0
490,PAYMENT,3301.66,C006123893,127801.65,124499.98999999999,C002268118,322115.05,0.0,0,0
389,TRANSFER,1464.67,C009158635,302551.02,301086.35000000003,C002530247,256467.25,0.0,0,0
299,CASH_OUT,5196.65,C007691223,355541.84,350345.19,C002377373,143363.35,0.0,0,0
11,PAYMENT,1403.54,C009688483,438800.96,437397.42000000004,C003853567,289224.61,0.0,0,0
556,CASH_OUT,151.43,C005469027,203036.2,202884.77000000002,C009234330,351901.2,0.0,0,0
452,DEBIT,1473.31,C001328841,446571.44,445098.13,C002788081,452476.03,0.0,0,0
179,TRANSFER,715.15,C009753031,304149.78,303434.63,C003494678,163555.15,0.0,0,0
431,PAYMENT,4424.3,C004062794,21497.31,17073.010000000002,C007727512,276195.48,0.0,0,0
563,TRANSFER,1172.09,C007274337,24535.06,23362.97,C002636360,494463.78,0.0,0,0
430,CASH_IN,645.27,C001455191,447294.92,446649.64999999997,C000951127,358955.45,0.0,0,0
10,PAYMENT,1273.33,C002238953,499278.54,498005.20999999996,C006782921,385142.97,0.0,0,0
388,CASH_OUT,4525.09,C001207297,4175.66,0.0,C003709115,241283.23,0.0,0,0
587,DEBIT,2761.2,C009566931,483661.55,480900.35,C002637439,433281.88,0.0,0,0
689,CASH_OUT,5119.92,C006018947,360196.02,355076.10000000003,C002363768,489280.88,0.0,0,0
118,PAYMENT,8047.13,C006055942,83067.4,75020.26999999999,C009752968,270743.92,0.0,0,0
30,CASH_IN,1139.05,C008408395,417052.59,415913.54000000004,C001431864,41933.06,0.0,0,0
282,CASH_OUT,3111.03,C003312071,240780.56,237669.53,C006635411,237573.8,0.0,0,0
742,CASH_IN,3804.8,C000338219,390791.67,386986.87,C005259547,147026.26,0.0,0,0
473,PAYMENT,639.23,C000957571,488423.84,487784.61000000004,C001602042,276635.45,0.0,0,0
441,TRANSFER,28623.86,C009659950,11862.62,0.0,C008519228,307452.11,0.0,0,0
108,TRANSFER,15494.79,C001768872,470503.37,455008.58,C004141577,105535.12,0.0,0,0
128,CASH_OUT,5847.67,C005427052,420281.67,414434.0,C009514438,274407.18,0.0,0,0
154,CASH_IN,385.54,C002905045,46694.22,46308.68,C009320041,125600.99,0.0,0,0
364,PAYMENT,3600.72,C004117426,142737.28,139136.56,C004011129,466310.96,0.0,0,0
418,DEBIT,168.64,C004589989,235319.95,235151.31,C006092593,273291.87,0.0,0,0
370,PAYMENT,54369.58,C005529338,171052.95,116683.37000000001,C003112795,155862.42,0.0,0,0
588,PAYMENT,3764.05,C009586726,203921.11,200157.06,C003856595,201453.13,0.0,0,0
234,DEBIT,1940.51,C005882865,410431.71,408491.2,C006898296,53030.65,0.0,0,0
728,CASH_IN,1913.77,C000697805,21099.26,19185.489999999998,C006984385,88505.82,0.0,0,0
462,CASH_IN,722.16,C008577987,131599.82,130877.66,C009528487,133424.72,0.0,0,0
162,CASH_OUT,1163.75,C005462067,219764.38,218600.63,C009771041,466266.09,0.0,0,0
536,PAYMENT,2286.45,C000581746,252894.97,250608.52,C006181029,374266.2,0.0,0,0
268,CASH_IN,23161.98,C004515876,231314.97,208152.99,C007707784,176948.61,0.0,0,0
377,PAYMENT,23135.25,C003857353,91882.8,68747.55,C006104061,213022.38,0.0,0,0
278,CASH_IN,14649.83,C006633689,392178.09,377528.26,C000498936,13105.55,0.0,0,0
9,CASH_OUT,2902.86,C005638249,38801.66,35898.8,C002270918,355309.68,0.0,0,0
392,TRANSFER,4859.17,C004309505,143499.9,138640.72999999998,C008781590,88193.79,0.0,0,0
129,TRANSFER,698.23,C003951905,393182.12,392483.89,C008455930,425695.79,0.0,0,0
449,CASH_IN,486.6,C007538934,473880.01,473393.41000000003,C009743908,152007.64,0.0,0,0
430,CASH_OUT,3325.8,C004454446,402910.26,399584.46,C003797790,147619.92,0.0,0,0
43,PAYMENT,1601.82,C009748283,43360.52,41758.7,C003922855,60748.96,0.0,0,0
402,CASH_IN,686.63,C005554961,61057.87,60371.240000000005,C007007876,355635.6,0.0,0,0
30,PAYMENT,612.49,C002781568,499622.82,499010.33,C006497923,348421.93,0.0,0,0
556,CASH_OUT,4723.64,C001551885,249591.08,244867.43999999997,C005800622,106389.06,0.0,0,0
38,PAYMENT,1169.85,C007752942,292262.94,291093.09,C003191596,419488.53,0.0,0,0
305,CASH_OUT,17486.73,C003645295,269698.27,252211.54,C007933830,111563.13,0.0,0,0
673,CASH_IN,217.98,C004020650,88680.4,88462.42,C000400601,84256.39,0.0,0,0
185,PAYMENT,1070.31,C001168663,80262.5,79192.19,C009565616,206699.14,0.0,0,0
149,CASH_IN,1247.65,C001863204,429064.57,427816.92,C004486525,42264.25,0.0,0,0
661,CASH_IN,3305.64,C009920214,287386.74,284081.1,C007396859,68694.83,0.0,0,0
648,CASH_IN,1533.05,C006019930,387529.65,385996.60000000003,C009055416,18940.22,0.0,0,0
178,PAYMENT,1560.72,C007925928,302566.5,301005.78,C008479181,406328.4,0.0,0,0
593,PAYMENT,2091.69,C003123073,456880.8,454789.11,C000335640,38107.35,0.0,0,0
141,PAYMENT,11073.83,C002322514,419273.89,408200.06,C003601083,352839.84,0.0,0,0
97,PAYMENT,1165.32,C005320633,43568.61,42403.29,C008019618,92753.69,0.0,0,0
626,PAYMENT,2316.87,C000177038,205696.68,203379.81,C007148219,123932.46,0.0,0,0
399,CASH_OUT,13968.95,C000255867,218643.86,204674.90999999997,C005892932,116823.38,0.0,0,0
251,CASH_OUT,1001.92,C001000620,370369.98,369368.06,C004262091,45252.65,0.0,0,0
488,PAYMENT,25053.03,C005289463,479249.89,454196.86,C003633935,97356.97,0.0,0,0
